date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2013-11-15,Sorghum - Retail,3 KG,cereals and tubers,9.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-12-15,Sorghum - Retail,3 KG,cereals and tubers,9.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-01-15,Sorghum - Retail,3 KG,cereals and tubers,8.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-02-15,Sorghum - Retail,3 KG,cereals and tubers,7.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-03-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-04-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-05-15,Sorghum - Retail,3 KG,cereals and tubers,8.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-06-15,Sorghum - Retail,3 KG,cereals and tubers,10.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-07-15,Sorghum - Retail,3 KG,cereals and tubers,13.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-08-15,Sorghum - Retail,3 KG,cereals and tubers,12.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-09-15,Sorghum - Retail,3 KG,cereals and tubers,16.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-10-15,Sorghum - Retail,3 KG,cereals and tubers,16.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-11-15,Sorghum - Retail,3 KG,cereals and tubers,15.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2014-12-15,Sorghum - Retail,3 KG,cereals and tubers,15.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-01-15,Sorghum - Retail,3 KG,cereals and tubers,15.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-02-15,Sorghum - Retail,3 KG,cereals and tubers,15.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-03-15,Sorghum - Retail,3 KG,cereals and tubers,15.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-04-15,Sorghum - Retail,3 KG,cereals and tubers,11.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-05-15,Sorghum - Retail,3 KG,cereals and tubers,11.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-06-15,Sorghum - Retail,3 KG,cereals and tubers,17.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-07-15,Sorghum - Retail,3 KG,cereals and tubers,7.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-08-15,Sorghum - Retail,3 KG,cereals and tubers,8.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-09-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-10-15,Sorghum - Retail,3 KG,cereals and tubers,11.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-11-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2015-12-15,Sorghum - Retail,3 KG,cereals and tubers,11.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-01-15,Sorghum - Retail,3 KG,cereals and tubers,8.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-02-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-03-15,Sorghum - Retail,3 KG,cereals and tubers,9.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-04-15,Sorghum - Retail,3 KG,cereals and tubers,9.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-05-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-06-15,Sorghum - Retail,3 KG,cereals and tubers,9.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-07-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-08-15,Sorghum - Retail,3 KG,cereals and tubers,12.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-09-15,Sorghum - Retail,3 KG,cereals and tubers,12.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-10-15,Sorghum - Retail,3 KG,cereals and tubers,11.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-11-15,Sorghum - Retail,3 KG,cereals and tubers,9.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2016-12-15,Sorghum - Retail,3 KG,cereals and tubers,10.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-01-15,Sorghum - Retail,3 KG,cereals and tubers,9.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-02-15,Sorghum - Retail,3 KG,cereals and tubers,11.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2017-03-15,Sorghum - Retail,3 KG,cereals and tubers,12.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
