"X","date","cmname","unit","category","price","currency","mktname","lat","long","year","quarter","price_norm","stdev","distinct_prices","stdev_mean"
33591,Mar 2021,"Millet - Retail","KG","cereals and tubers",242,"XOF","Hamélé",11.007575,-2.7488016,2021,2021 Q1,0.532846715328467,0.0258926966591153,3,0.0258926966591153
580,Feb 2021,"Millet - Retail","KG","cereals and tubers",193,"XOF","Tougan",13.0690536,-3.0695369,2021,2021 Q1,0.354014598540146,0.0147498243953554,3,0.0147498243953554
1401,Feb 2021,"Millet - Retail","KG","cereals and tubers",213,"XOF","Dedougou",12.4617,-3.457987,2021,2021 Q1,0.427007299270073,0.0344950045711869,3,0.0344950045711869
2948,Feb 2021,"Millet - Retail","KG","cereals and tubers",244,"XOF","Boromo",11.7447567,-2.9300274,2021,2021 Q1,0.54014598540146,0.0314659784826705,3,0.0314659784826705
3371,Feb 2021,"Millet - Retail","KG","cereals and tubers",166,"XOF","Djibasso",13.1238952,-4.1587932,2021,2021 Q1,0.255474452554745,0.0243004675856912,3,0.0243004675856912
3765,Feb 2021,"Millet - Retail","KG","cereals and tubers",219,"XOF","Fara",11.5285634,-2.7665227,2021,2021 Q1,0.448905109489051,0.0283483703107811,3,0.0283483703107811
4187,Feb 2021,"Millet - Retail","KG","cereals and tubers",149,"XOF","Gassan",12.8187745,-3.2,2021,2021 Q1,0.193430656934307,0.0201006224353507,3,0.0201006224353507
4683,Feb 2021,"Millet - Retail","KG","cereals and tubers",143,"XOF","Solenzo",12.1783519,-4.0790712,2021,2021 Q1,0.171532846715328,0.0403665693991169,3,0.0403665693991169
5085,Feb 2021,"Millet - Retail","KG","cereals and tubers",187,"XOF","Toma",12.7564457,-2.8972321,2021,2021 Q1,0.332116788321168,0.0128170970229352,3,0.0128170970229352
5856,Feb 2021,"Millet - Retail","KG","cereals and tubers",225,"XOF","Banfora",10.642703,-4.752639,2021,2021 Q1,0.470802919708029,0.0298735502623082,3,0.0298735502623082
6418,Feb 2021,"Millet - Retail","KG","cereals and tubers",260,"XOF","Douna",10.61514717,-5.107333145,2021,2021 Q1,0.598540145985402,0.130079327865036,3,0.130079327865036
8198,Feb 2021,"Millet - Retail","KG","cereals and tubers",249,"XOF","Gounghin",12.37002709,-1.517322022,2021,2021 Q1,0.558394160583942,0.0138172952452561,3,0.0138172952452561
9328,Feb 2021,"Millet - Retail","KG","cereals and tubers",221,"XOF","Tenkodogo",11.7828079,-0.3651416,2021,2021 Q1,0.456204379562044,0.0314659784826705,3,0.0314659784826705
9833,Feb 2021,"Millet - Retail","KG","cereals and tubers",219,"XOF","Pouytenga",12.2467964,-0.4257424,2021,2021 Q1,0.448905109489051,0.00759732116593478,3,0.00759732116593478
10210,Feb 2021,"Millet - Retail","KG","cereals and tubers",264,"XOF","Koupela",12.18229209,-0.352622705,2021,2021 Q1,0.613138686131387,0.0334494576274149,3,0.0334494576274149
10634,Feb 2021,"Millet - Retail","KG","cereals and tubers",203,"XOF","Ouargaye",11.503281,0.0576243,2021,2021 Q1,0.39051094890511,0.0703916113941092,3,0.0703916113941092
10985,Feb 2021,"Millet - Retail","KG","cereals and tubers",223,"XOF","Zabre",11.18154132,-0.63425825,2021,2021 Q1,0.463503649635036,0.060742032763114,3,0.060742032763114
12070,Feb 2021,"Millet - Retail","KG","cereals and tubers",173,"XOF","Kongoussi",13.3224919,-1.5263393,2021,2021 Q1,0.281021897810219,0.0456326017846984,3,0.0456326017846984
12667,Feb 2021,"Millet - Retail","KG","cereals and tubers",273,"XOF","Kaya",13.085603,-1.0839593,2021,2021 Q1,0.645985401459854,0.180389465054853,3,0.180389465054853
13056,Feb 2021,"Millet - Retail","KG","cereals and tubers",176,"XOF","Boulsa",12.6626565,-0.5730914,2021,2021 Q1,0.291970802919708,0.0658284635448598,3,0.0658284635448598
